DISTRICTNAME NEIGHBORHOODNAME N AVG_UNITPRICE Q1_UNITPRICE Q3_UNITPRICE IQR CV CLUSTER
"Villa de Vallecas" "Ensanche de Vallecas - La Gavia" 571 2661.6323723004016 2368.4210526315787 3092.1308576480988 723.70980501652 0.1336572677220621 "Consolidated fabric (old neighborhoods)"
Usera "San Fermín" 565 1809.7475553423196 1505.3763440860216 2185.9375 680.5611559139784 0.22907290160721935 "Complete neighborhood"
Usera Almendrales 565 1968.3701388920745 1632.8395061728395 2222.222222222222 589.3827160493827 0.21344648759654605 "Complete neighborhood"
Arganzuela Delicias 563 3514.7026320690684 3081.521739130435 4079.277864992151 997.756125861716 0.1154292953369086 "Single-family home 1 (medium intensity)"
"San Blas" Rosas 562 3018.6769054408214 2671.875 3444.4444444444443 772.5694444444443 0.1114687003280246 "Complete neighborhood"
Retiro Jerónimos 555 5410.024168443936 3931.034482758621 7702.7027027027025 3771.668219944082 0.18994463410697457 "Complete neighborhood"
Arganzuela Acacias 553 3626.607463568269 3155.5555555555557 4205.607476635514 1050.0519210799584 0.12410983126372692 "Single-family home 1 (medium intensity)"
Carabanchel Opañel 548 1994.858825910001 1666.6666666666667 2315.1752612066057 648.5085945399389 0.1946856276869537 "Compact block (expansion)"
Fuencarral Pilar 544 3097.099150834107 2771.255060728745 3541.6666666666665 770.4116059379216 0.11752624986892476 "Compact block (expansion)"
Chamberí Vallehermoso 543 4522.12830582358 4075.5116959064326 5138.0952380952385 1062.583542188806 0.1452571897637108 "Single-family home 1 (medium intensity)"
"San Blas" Simancas 539 2051.4639938240184 1769.2307692307693 2364.732620320856 595.5018510900866 0.1605112297405312 "Open block (new extensions)"
Salamanca Guindalera 535 3966.798454833095 3578.040540540541 4456.521739130435 878.4811985898941 0.11920145366369904 "Open block (new extensions)"
Chamartín "El Viso" 522 6144.232796302444 5171.152869476892 7717.57372332774 2546.4208538508474 0.1324858040416026 "Compact block (expansion)"
Carabanchel "Puerta Bonita" 520 1748.2837872845523 1409.367007672634 2143.8095238095234 734.4425161368893 0.23669387987443688 "Compact block (expansion)"
Villaverde Butarque 513 1869.346427215432 1606.8702290076335 2208.6776859504134 601.8074569427799 0.1395116133792614 "Complete neighborhood"
Chamartín Bernabéu-Hispanoamérica 512 4840.7998388765345 4233.128834355828 5541.024340770791 1307.8955064149632 0.12500702405491265 "Single-family home 1 (medium intensity)"
Hortaleza Canillas 512 2859.404260566446 2499.722222222222 3271.885521885522 772.1632996632998 0.1756419283592195 "Compact block (expansion)"
Usera Pradolongo 511 1840.5191517892945 1498.3333333333333 2193.998015873016 695.6646825396826 0.20524389793561132 "Open block (new extensions)"
Moncloa "Ciudad Universitaria" 507 3930.618513567027 3200 4800.722021660649 1600.7220216606493 0.18821127029802096 "Complete neighborhood"
Fuencarral "La Paz" 502 3528.08650757291 3185.8407079646017 3948.1324278438033 762.2917198792015 0.11015370785623792 "Single-family home 2 (low intensity)"
Chamartín "Ciudad Jardín" 500 4089.151651669537 3494.6236559139784 4929.305283757339 1434.6816278433605 0.13553184385501868 "Single-family home 1 (medium intensity)"
Tetuán Cuzco-Castillejos 500 3854.971148262414 3453.148854961832 4443.895348837209 990.7464938753768 0.13758577287347346 "Open block (new extensions)"
"Ciudad Lineal" "San Pascual" 498 3459.551189621194 2926.829268292683 4215.116279069767 1288.287010777084 0.15946720226977937 "Complete neighborhood"
Latina "Los Cármenes" 492 2165.0280522398966 1757.5 2721.144480519481 963.6444805194806 0.178959297999578 "Complete neighborhood"
Tetuán Cuzco-Castillejos 491 4458.056622444469 3835.2713178294575 5090.909090909091 1255.6377730796337 0.1340491258588167 "Single-family home 2 (low intensity)"
"San Blas" Arcos 488 2005.336167778319 1711.0507246376812 2250 538.9492753623188 0.22312844153710237 "Complete neighborhood"
Retiro "Niño Jesús" 480 4353.527212304737 3692.307692307693 5014.044943820225 1321.7372515125326 0.15956579750152558 "Complete neighborhood"
"San Blas" Rosas 479 2992.591331718627 2657.912234042553 3415.833333333333 757.9210992907801 0.10623553465916984 "Single-family home 2 (low intensity)"
Centro Huertas-Cortes 477 4859.0819006862675 4301.075268817204 5729.166666666667 1428.0913978494627 0.121955777242354 "Open Building 2 (Fine Grain)"
Moncloa Valdemarín 476 4879.9632466487765 4358.667986425339 5692.953020134228 1334.2850337088885 0.12292580982149824 "Complete neighborhood"
Hortaleza "Conde Orgaz-Piovera" 473 4863.0760960968 4311.111111111111 5660.714285714285 1349.603174603174 0.11553119809849632 "Complete neighborhood"
Carabanchel Abrantes 469 1690.052721075832 1487.5 1935.483870967742 447.9838709677419 0.14080875639918444 "Compact block (expansion)"
Carabanchel Opañel 462 2194.0915026868097 1848.84481255449 2634.8814229249015 786.0366103704116 0.12923553106300767 "Open block (new extensions)"
Chamartín Bernabéu-Hispanoamérica 457 5300.733271319699 4600 6016.949152542373 1416.9491525423728 0.11330471866879278 "Single-family home 2 (low intensity)"
Moratalaz Fontarrón 452 2122.897077720413 1895.5920205920208 2370.6349206349205 475.0429000428999 0.11033883619378726 "Complete neighborhood"
Chamartín Bernabéu-Hispanoamérica 449 4534.978922779663 3771.428571428571 5125 1353.5714285714284 0.12674932734277633 "Compact block (expansion)"
"San Blas" Rejas 442 3210.8775013972204 2917.3387096774195 3629.032258064516 711.6935483870966 0.09419157967275812 "Single-family home 2 (low intensity)"
"Villa de Vallecas" "Santa Eugenia" 438 2099.0379681250997 1863.1666666666667 2312.2970779220777 449.130411255411 0.2527337678555188 "Single-family home 2 (low intensity)"
Villaverde "Los Ángeles" 436 1614.056501995928 1438.042553191489 1800 361.95744680851067 0.13661039232031189 "Compact block (expansion)"
"San Blas" Canillejas 436 2185.147297216556 1900 2500 600 0.1580977965882784 "Open block (new extensions)"
Vicálvaro Ambroz 425 1873.0500670299512 1611.764705882353 2160 548.2352941176471 0.2046357345554931 "Complete neighborhood"
Arganzuela Acacias 424 4260.14396571544 3660 4988.888888888889 1328.8888888888887 0.10206486077256964 "Single-family home 2 (low intensity)"
Salamanca Castellana 422 5765.872023275123 4864.864864864865 6830.985915492958 1966.1210506280931 0.1447570018404559 "Compact fabric (historic center)"
Latina Águilas 417 1890.188418954011 1743.5897435897436 2150.68493150685 407.0951879171057 0.1244647478103764 "Compact block (expansion)"
Chamartín "Nueva España" 416 4991.125810603854 4353.741496598639 5879.464285714286 1525.7227891156472 0.16013235123888853 "Open building 1 (compact)"
Latina Lucero 415 1952.5001294789872 1663.6363636363635 2330.028735632184 666.3923719958204 0.18227550147014787 "Open block (new extensions)"
Moncloa Valdemarín 411 4947.12803681746 4419.006181152664 5897.5 1478.493818847336 0.1181643353608162 "Consolidated fabric (old neighborhoods)"
Carabanchel "San Isidro" 411 2299.1741572923556 1791.748803154041 3061.2244897959185 1269.4756866418777 0.1645170002817581 "Compact block (expansion)"
"Ciudad Lineal" Costillares 403 3861.9504132720735 3512.5548726953466 4400 887.4451273046534 0.1034953699227504 "Single-family home 2 (low intensity)"
Fuencarral Mirasierra 400 3806.353984656142 3456.36189258312 4162.924151696608 706.5622591134875 0.08204689194034984 "Complete neighborhood"
Moncloa Valdezarza 397 2879.781647378752 2500 3506.493506493506 1006.4935064935066 0.15255238949447655 "Compact block (expansion)"
Usera Zofío 394 1798.4934962024477 1551.5625 2037.80198446937 486.2394844693699 0.14569729139792262 "Complete neighborhood"
Chamartín "Nueva España" 392 5421.43308986118 4566.501198219788 6187.5 1620.9988017802116 0.14471245490566564 "Single-family home 2 (low intensity)"
Latina Águilas 390 2035.574568682105 1810.2564102564104 2250 439.74358974358984 0.13175710765866538 "Open building 1 (compact)"
"Puente de Vallecas" "Palomeras Bajas" 390 1882.6939635675933 1600 2221.9945355191257 621.9945355191257 0.1567571379016176 "Open block (new extensions)"
Latina Campamento 387 2173.1306172314407 1872.7272727272727 2557.7582920320247 685.0310193047519 0.15751535025251598 "Complete neighborhood"
Fuencarral "Las Tablas" 385 3883.178209048844 3526.785714285714 4393.939393939394 867.1536796536798 0.10476658787945678 "Complete neighborhood"
Villaverde "Los Rosales" 379 1715.94975277479 1457.377049180328 1950.7250268528464 493.3479776725185 0.2235097612853839 "Compact fabric (historic center)"
Usera Zofío 378 1792.4489498488 1551.5625 2032.7868852459017 481.22438524590166 0.1464456161438389 "Compact block (expansion)"
Arganzuela Legazpi 377 4023.2477234783582 3567.8571428571427 4760.952380952381 1193.095238095238 0.1398257802429793 "Complete neighborhood"
"San Blas" Amposta 377 1781.8726682217982 1537.5 2111.1111111111113 573.6111111111113 0.12065708014811648 "Complete neighborhood"
"San Blas" Amposta 375 1782.5549137188402 1535.75 2111.1111111111113 575.3611111111113 0.12060279985446382 "Open block (new extensions)"
Carabanchel "Pau de Carabanchel" 374 2912.836194662718 2581.8830879071843 3333.3333333333335 751.4502454261492 0.1340690457691869 "Complete neighborhood"
