Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2025;T2;Latina;Serie;139.471;Índice;
2025;T2;Latina;Tasa de variación sobre el periodo anterior;7.6;Porcentaje;
2025;T2;Latina;Tasa de variación sobre igual período del año anterior;23.8;Porcentaje;
2025;T2;Moncloa-Aravaca;Serie;129.012;Índice;
2025;T2;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;5.0;Porcentaje;
2025;T2;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;14.3;Porcentaje;
2025;T2;Moratalaz;Serie;136.309;Índice;
2025;T2;Moratalaz;Tasa de variación sobre el periodo anterior;2.7;Porcentaje;
2025;T2;Moratalaz;Tasa de variación sobre igual período del año anterior;21.8;Porcentaje;
2025;T2;Puente de Vallecas;Serie;133.199;Índice;
2025;T2;Puente de Vallecas;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2025;T2;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;15.3;Porcentaje;
2025;T2;Retiro;Serie;136.351;Índice;
2025;T2;Retiro;Tasa de variación sobre el periodo anterior;7.8;Porcentaje;
2025;T2;Retiro;Tasa de variación sobre igual período del año anterior;21.4;Porcentaje;
2025;T2;Salamanca;Serie;134.737;Índice;
2025;T2;Salamanca;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2025;T2;Salamanca;Tasa de variación sobre igual período del año anterior;15.5;Porcentaje;
2025;T2;San Blas-Canillejas;Serie;133.312;Índice;
2025;T2;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;6.3;Porcentaje;
2025;T2;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;19.6;Porcentaje;
2025;T2;Tetuán;Serie;131.574;Índice;
2025;T2;Tetuán;Tasa de variación sobre el periodo anterior;5.0;Porcentaje;
2025;T2;Tetuán;Tasa de variación sobre igual período del año anterior;18.5;Porcentaje;
2025;T2;Usera;Serie;139.356;Índice;
2025;T2;Usera;Tasa de variación sobre el periodo anterior;8.3;Porcentaje;
2025;T2;Usera;Tasa de variación sobre igual período del año anterior;19.6;Porcentaje;
2025;T2;Vicálvaro;Serie;128.969;Índice;
2025;T2;Vicálvaro;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2025;T2;Vicálvaro;Tasa de variación sobre igual período del año anterior;19.0;Porcentaje;
2025;T2;Villa de Vallecas;Serie;129.489;Índice;
2025;T2;Villa de Vallecas;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2025;T2;Villa de Vallecas;Tasa de variación sobre igual período del año anterior;18.6;Porcentaje;
2025;T2;Villaverde;Serie;134.262;Índice;
2025;T2;Villaverde;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2025;T2;Villaverde;Tasa de variación sobre igual período del año anterior;16.4;Porcentaje;
2025;T1;Arganzuela;Serie;122.979;Índice;
2025;T1;Arganzuela;Tasa de variación sobre el periodo anterior;4.9;Porcentaje;
2025;T1;Arganzuela;Tasa de variación sobre igual período del año anterior;12.3;Porcentaje;
2025;T1;Barajas;Serie;117.871;Índice;
2025;T1;Barajas;Tasa de variación sobre el periodo anterior;2.6;Porcentaje;
2025;T1;Barajas;Tasa de variación sobre igual período del año anterior;13.0;Porcentaje;
2025;T1;Carabanchel;Serie;127.583;Índice;
2025;T1;Carabanchel;Tasa de variación sobre el periodo anterior;4.5;Porcentaje;
2025;T1;Carabanchel;Tasa de variación sobre igual período del año anterior;17.8;Porcentaje;
2025;T1;Centro;Serie;119.435;Índice;
2025;T1;Centro;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2025;T1;Centro;Tasa de variación sobre igual período del año anterior;10.3;Porcentaje;
2025;T1;Chamartín;Serie;129.092;Índice;
2025;T1;Chamartín;Tasa de variación sobre el periodo anterior;5.9;Porcentaje;
2025;T1;Chamartín;Tasa de variación sobre igual período del año anterior;16.3;Porcentaje;
2025;T1;Chamberí;Serie;131.002;Índice;
2025;T1;Chamberí;Tasa de variación sobre igual período del año anterior;17.5;Porcentaje;
2025;T1;Ciudad Lineal;Serie;125.35;Índice;
2025;T1;Ciudad Lineal;Tasa de variación sobre el periodo anterior;4.4;Porcentaje;
2025;T1;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;14.4;Porcentaje;
2025;T1;Fuencarral-El Pardo;Serie;120.804;Índice;
2025;T1;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;5.1;Porcentaje;
2025;T1;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;13.8;Porcentaje;
2025;T1;Hortaleza;Serie;121.333;Índice;
2025;T1;Hortaleza;Tasa de variación sobre el periodo anterior;4.9;Porcentaje;
2025;T1;Hortaleza;Tasa de variación sobre igual período del año anterior;15.0;Porcentaje;
2025;T1;Latina;Serie;129.56;Índice;
2025;T1;Latina;Tasa de variación sobre el periodo anterior;3.9;Porcentaje;
2025;T1;Latina;Tasa de variación sobre igual período del año anterior;20.5;Porcentaje;
2025;T1;Moncloa-Aravaca;Serie;122.818;Índice;
2025;T1;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2025;T1;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;14.7;Porcentaje;
2025;T1;Moratalaz;Serie;132.738;Índice;
2025;T1;Moratalaz;Tasa de variación sobre el periodo anterior;12.5;Porcentaje;
2025;T1;Moratalaz;Tasa de variación sobre igual período del año anterior;23.2;Porcentaje;
2025;T1;Puente de Vallecas;Serie;127.074;Índice;
2025;T1;Puente de Vallecas;Tasa de variación sobre el periodo anterior;7.1;Porcentaje;
