E. Edificación y Vivienda
Mercado de la vivienda
Sistema Estatal de Referencia del Precio del Alquiler de Vivienda
"4.4.1. Número de viviendas en alquiler, Superficie media (m2), Renta media (€/m2.mes) y Cuantía media del arrendamiento (€/mes) por Distrito"
Año;Distrito;Número de viviendas en alquiler;Número de viviendas en alquiler;Número de viviendas en alquiler;Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes)
Año;Distrito;Número total de  viviendas alquiler;Número de viviendas colectivas en alquiler;Número de viviendas unifamiliares en alquiler;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75
2022;21. Barajas;"3.796,00";"3.640,00";"156,00";"80,00";"59,00";"95,00";"12,05";"10,31";"14,13";"850,00";"698,68";"1.054,17";"207,50";"98,50";"283,25";"9,71";"6,36";"12,36";"1.312,26";"618,75";"2.000,00"
2023;Ciudad de Madrid;"294.408,00";"291.225,00";"3.183,00";"66,00";"52,00";"84,00";"13,30";"10,56";"16,92";"825,00";"669,17";"1.100,00";"160,00";"77,00";"265,00";"11,30";"8,31";"14,74";"1.241,67";"715,69";"2.416,75"
2023;01. Centro;"20.393,00";"20.385,00";"8,00";"55,00";"41,00";"77,00";"16,77";"13,33";"20,50";"900,00";"713,48";"1.200,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2023;02. Arganzuela;"16.001,00";"15.997,00";"4,00";"63,00";"47,00";"81,00";"15,19";"12,62";"18,12";"900,00";"738,68";"1.150,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2023;03. Retiro;"10.025,00";"9.991,00";"34,00";"72,00";"51,00";"94,00";"15,28";"12,63";"18,55";"1.021,70";"800,00";"1.339,26";"168,50";"83,75";"224,75";"13,67";"8,74";"17,25";"1.325,00";"825,00";"2.809,21"
2023;04. Salamanca;"16.821,00";"16.753,00";"68,00";"65,00";"47,00";"92,00";"17,21";"13,75";"21,35";"1.086,31";"825,00";"1.500,00";"207,00";"121,25";"244,50";"12,28";"7,58";"15,66";"1.801,80";"977,99";"2.707,79"
2023;05. Chamartín;"15.660,00";"15.390,00";"270,00";"68,00";"51,00";"90,00";"16,14";"13,35";"19,34";"1.052,06";"833,33";"1.387,50";"190,50";"129,75";"276,00";"15,22";"11,03";"19,11";"2.374,03";"1.525,83";"3.524,90"
2023;06. Tetuán;"19.616,00";"19.549,00";"67,00";"56,00";"44,00";"73,00";"15,22";"12,25";"18,58";"825,00";"683,08";"1.050,00";"76,00";"68,00";"167,00";"12,52";"9,29";"15,87";"1.035,93";"714,28";"1.577,50"
2023;07. Chamberí;"19.246,00";"19.224,00";"22,00";"64,00";"46,00";"91,00";"17,58";"14,29";"21,30";"1.100,00";"837,11";"1.500,00";"49,00";"37,00";"154,25";"13,24";"9,34";"18,83";"741,67";"603,79";"1.337,50"
2023;08. Fuencarral-El Pardo;"20.530,00";"20.072,00";"458,00";"77,00";"55,00";"104,00";"13,21";"11,32";"15,36";"950,00";"750,00";"1.225,00";"189,00";"97,00";"284,00";"10,79";"8,35";"14,12";"1.426,50";"850,00";"2.418,35"
