P. Turismo y eventos  "Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total;1 estrella / llave;1 estrella / llave;2 estrellas / llaves;2 estrellas / llaves;3 estrellas / llaves;3 estrellas / llaves;4 estrellas / llaves;4 estrellas / llaves;Sin categoría;Sin categoría
;;;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas
2018;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;15. Ciudad Lineal;2;402;1;150;0;0;1;252;0;0;0;0
2018;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;17. Villaverde;2;222;0;0;2;222;0;0;0;0;0;0
2018;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;19. Vicálvaro;1;176;0;0;1;176;0;0;0;0;0;0
2018;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;21. Barajas;1;285;1;285;0;0;0;0;0;0;0;0
2019;Apartamento turístico;Ciudad de Madrid;104;10.165;6;279;34;6.385;26;2.208;37;1.292;1;1
2019;Apartamento turístico;01. Centro;46;2.086;2;46;7;624;15;652;21;763;1;1
2019;Apartamento turístico;02. Arganzuela;4;36;1;1;1;1;0;0;2;34;0;0
2019;Apartamento turístico;03. Retiro;1;51;0;0;1;51;0;0;0;0;0;0
2019;Apartamento turístico;04. Salamanca;8;973;1;86;3;381;4;506;0;0;0;0
2019;Apartamento turístico;05. Chamartín;7;1.087;0;0;5;968;1;85;1;34;0;0
2019;Apartamento turístico;06. Tetuán;5;302;0;0;3;277;0;0;2;25;0;0
2019;Apartamento turístico;07. Chamberí;5;671;1;58;1;309;2;294;1;10;0;0
2019;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;09. Moncloa-Aravaca;12;1.095;0;0;9;950;1;120;2;25;0;0
2019;Apartamento turístico;10. Latina;1;52;0;0;0;0;0;0;1;52;0;0
2019;Apartamento turístico;11. Carabanchel;1;12;0;0;0;0;0;0;1;12;0;0
2019;Apartamento turístico;12. Usera;1;1;0;0;0;0;1;1;0;0;0;0
2019;Apartamento turístico;13. Puente de Vallecas;2;760;0;0;1;734;0;0;1;26;0;0
2019;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;15. Ciudad Lineal;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;17. Villaverde;1;1;0;0;0;0;1;1;0;0;0;0
2019;Apartamento turístico;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2019;Apartamento turístico;20. San Blas-Canillejas;10;3.038;1;88;3;2.090;1;549;5;311;0;0
2019;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;Ciudad de Madrid;12;1.408;3;530;4;464;3;326;2;88;0;0
2019;Hotel-apartamento;01. Centro;1;66;0;0;1;66;0;0;0;0;0;0
2019;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;04. Salamanca;2;74;0;0;0;0;2;74;0;0;0;0
2019;Hotel-apartamento;05. Chamartín;2;175;1;95;0;0;0;0;1;80;0;0
2019;Hotel-apartamento;06. Tetuán;1;8;0;0;0;0;0;0;1;8;0;0
2019;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;15. Ciudad Lineal;2;402;1;150;0;0;1;252;0;0;0;0
2019;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;17. Villaverde;2;222;0;0;2;222;0;0;0;0;0;0
2019;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;19. Vicálvaro;1;176;0;0;1;176;0;0;0;0;0;0
2019;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2019;Hotel-apartamento;21. Barajas;1;285;1;285;0;0;0;0;0;0;0;0
2020;Apartamento turístico;Ciudad de Madrid;105;10.674;6;279;35;1.593;25;2.161;38;6.640;1;1
2020;Apartamento turístico;01. Centro;48;2.643;2;46;21;1.099;15;660;9;837;1;1
2020;Apartamento turístico;02. Arganzuela;4;36;1;1;2;34;0;0;1;1;0;0
2020;Apartamento turístico;03. Retiro;1;51;0;0;0;0;0;0;1;51;0;0
2020;Apartamento turístico;04. Salamanca;8;887;1;86;0;0;4;452;3;349;0;0
2020;Apartamento turístico;05. Chamartín;6;1.053;0;0;0;0;1;85;5;968;0;0
2020;Apartamento turístico;06. Tetuán;4;301;0;0;1;24;0;0;3;277;0;0
